Start init
Done init
-2.63832	TNaive
-2.63832	TNaiveOutlined
-2.63832	TCompileTimehDim<64>
-2.63832	TCompileTime64hDimOutlined
0	TCLibChecker
-2.63832	TForceBy4
-2.63832	TForceBy4Last
-2.63832	TNaiveSSE4UnsafeOpt
-2.63832	TBy4SSE4UnsafeOpt
-2.63832	TNaiveAvxAuto
-2.63832	TNaiveAvx2Auto
-2.63832	TNaiveAvx512Auto
-2.63832	TNaiveAvx512ASM
-2.63832	TDetectOptimistic
-2.63832	TDetectPessimistic
-2.63832	TDetectJump
-2.63832	TVirtualJump
-2.63832	8.22633	TNaive
-2.63832	8.22633	TMultiDotFromSingle<TNaive>
-2.63832	8.22633	TMultiDotAll
-2.63832	8.22633	TMultiDotCTStep<1>
-2.63832	8.22633	TMultiDotCTStep<2>
-2.63832	8.22633	TMultiDotCTStepOutlined<2>
-2.63832	8.22633	TMultiDotCTStepOutlinedV2<2>
-2.63832	8.22633	TMultiDotCTStepV3
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_SSE42<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX2<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX512<2>
-2.63832	8.22633	TMultiDotV3_ASM_AVX512
531.675	863.36	TPackedProductUnpack<TNaive>
531.675	863.36	TPackedProductUnpack<TVirtualJump>
531.675	863.36	TPackedProductInlined
531.675	863.36	TPackedProductInlinedAvx512Auto
531.675	863.36	TPackedProductInlinedWithMath
531.675	863.36	TPackedProductInlinedWithMathAvx512Auto
531.675	863.36	TPackedProductAvx512ASM
531.675	863.36	TPackedProductV2Avx512ASM
2021-07-25 11:23:49
Running ./for_conf_abstr_level
Run on (32 X 2095.08 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 4096 KiB (x32)
  L3 Unified 16384 KiB (x32)
Load Average: 0.18, 0.12, 0.10
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_2/128                  1.00 ms         1.00 ms          693
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_2/1024                 4.44 ms         4.44 ms          159
DotPrMulti_TMultiDotCTStep_3/64                                     1.45 ms         1.45 ms          489
DotPrMulti_TMultiDotCTStep_3/128                                    2.51 ms         2.51 ms          279
DotPrMulti_TMultiDotCTStep_3/1024                                   6.59 ms         6.59 ms          107
DotPrMulti_TMultiDotCTStepOutlined_3/64                             1.45 ms         1.45 ms          478
DotPrMulti_TMultiDotCTStepOutlined_3/128                            2.43 ms         2.43 ms          289
DotPrMulti_TMultiDotCTStepOutlined_3/1024                           6.45 ms         6.45 ms          110
DotPrMulti_TMultiDotCTStepOutlinedV2_3/64                           1.34 ms         1.34 ms          520
DotPrMulti_TMultiDotCTStepOutlinedV2_3/128                          2.14 ms         2.14 ms          324
DotPrMulti_TMultiDotCTStepOutlinedV2_3/1024                         6.09 ms         6.09 ms          112
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_3/64                   0.831 ms        0.831 ms          855
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_3/128                   1.44 ms         1.44 ms          487
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_3/1024                  4.78 ms         4.78 ms          146
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_3/64                     0.610 ms        0.610 ms         1127
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_3/128                     1.13 ms         1.13 ms          621
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_3/1024                    4.52 ms         4.52 ms          154
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_3/64                    0.628 ms        0.628 ms         1095
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_3/128                    1.14 ms         1.14 ms          588
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_3/1024                   4.53 ms         4.53 ms          153
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_3/64                  0.526 ms        0.526 ms         1277
